55,74,29,53,76,98,1,55,89,53,77,10,85,78,51,74,59,80,74,79
30,7,24,83,37,56,81,32,2,66,3,32,51,51,19,25,17,17,99,61
75,87,72,86,95,85,50,39,35,39,40,89,1,71,16,9,53,74,59,95
19,94,63,79,2,41,54,80,77,65,26,66,92,80,91,86,47,76,51,64
69,99,60,32,83,47,88,84,35,77,21,69,42,34,100,69,38,89,54,88
19,86,67,46,63,83,73,69,62,58,67,48,74,92,40,96,10,43,61,13
37,79,5,76,54,100,67,42,46,64,92,15,16,58,83,99,26,19,77,82
63,52,35,11,66,53,18,65,2,28,1,96,82,29,96,54,34,31,61,98
79,18,46,11,73,93,56,22,60,84,75,89,91,27,90,91,38,33,73,24
9,40,25,27,10,74,96,62,61,43,80,44,78,90,85,48,15,45,44,92
93,14,72,53,88,57,60,68,65,64,91,84,76,37,69,89,32,37,65,68
78,4,86,98,2,97,81,61,35,84,98,33,41,16,18,3,29,63,18,73
49,94,29,72,30,83,99,35,50,28,12,37,71,95,24,13,83,94,88,69
44,31,74,32,18,96,89,37,71,41,52,80,57,66,44,75,35,29,26,80
45,30,14,30,93,65,22,18,89,56,83,10,59,99,3,40,88,25,36,53
31,34,84,86,7,38,4,80,6,45,64,96,35,20,27,40,27,93,31,76
51,47,14,92,59,48,46,50,10,10,96,1,71,83,99,61,78,93,97,51
52,65,59,64,64,92,2,36,65,75,95,30,17,50,32,3,61,31,20,91
82,3,37,26,66,2,48,78,77,4,97,5,1,60,58,39,2,8,10,13
80,85,81,9,87,16,96,24,99,43,7,45,57,5,62,6,71,79,70,86
65,56,51,84,6,48,25,85,13,4,44,79,55,57,91,69,2,14,10,18
38,86,49,59,82,55,39,82,37,98,33,92,56,64,40,53,69,47,20,77
82,35,88,95,53,6,44,85,68,53,14,54,70,50,70,8,88,45,61,46
54,45,36,7,70,66,84,38,38,91,14,81,93,6,21,41,44,61,71,61
36,6,45,59,22,89,83,39,87,39,81,57,95,52,7,44,64,13,90,37
94,18,97,29,55,11,46,87,30,89,53,76,91,6,63,66,59,60,61,41
88,67,5,83,71,44,39,47,14,26,95,1,61,85,69,22,23,14,87,74
56,34,98,20,96,29,93,58,68,91,99,48,93,60,30,9,79,12,68,96
63,90,19,45,45,99,75,70,21,90,41,26,12,70,58,47,29,45,79,88
59,12,67,40,9,61,74,97,87,40,38,31,35,65,32,73,93,28,54,61
21,99,59,83,6,26,95,55,76,63,23,97,4,63,81,62,30,95,1,97
31,54,68,68,63,14,52,64,42,57,45,21,54,96,37,91,54,52,20,64
48,71,37,21,80,55,80,58,1,90,27,53,74,18,70,26,34,45,44,78
24,100,63,32,70,83,46,93,15,22,46,23,19,48,64,23,24,31,56,90
85,29,82,14,35,84,85,87,28,1,44,57,43,85,97,24,55,47,39,23
20,42,2,68,95,84,40,17,88,89,26,100,10,50,21,82,11,78,65,11
23,47,9,58,53,21,74,18,61,24,14,14,31,77,60,71,14,17,59,83
18,77,98,17,96,55,98,25,33,25,42,96,79,18,9,88,10,3,77,43
23,82,66,15,8,88,53,76,29,65,51,13,54,70,55,72,32,71,18,73
44,11,24,48,21,13,43,20,44,31,33,19,77,92,85,67,82,61,51,94
32,18,41,91,78,86,21,99,91,83,69,65,64,17,5,44,52,42,39,30
93,36,13,56,92,90,33,71,93,89,45,13,90,43,33,57,87,92,98,32
44,6,27,4,79,22,12,18,51,95,44,9,7,5,71,100,99,48,94,55
19,53,26,6,30,8,38,86,63,40,80,66,18,23,87,96,33,92,90,56
91,34,34,81,16,48,33,91,72,81,82,3,42,67,51,34,22,50,45,65
98,18,16,46,85,84,35,97,3,16,76,99,74,88,100,16,52,93,76,60
44,21,35,39,79,47,82,58,58,63,79,54,90,35,43,42,36,71,91,17
12,91,13,79,28,42,54,57,5,70,51,38,3,3,27,56,86,70,38,42
26,68,89,37,23,51,53,18,43,9,56,71,14,91,48,3,27,1,12,37
41,47,10,54,33,13,78,52,47,54,64,95,43,48,17,87,85,55,53,9
60,92,94,72,83,14,13,55,3,89,10,39,77,92,16,90,59,42,35,24
27,11,40,88,83,88,63,17,7,27,25,70,53,33,27,50,72,63,85,100
61,75,5,33,58,61,35,50,93,24,62,61,76,70,76,21,35,55,19,91
72,74,35,66,58,27,34,54,54,84,31,78,17,2,61,73,1,22,21,80
23,57,74,98,29,87,58,20,37,50,77,60,68,52,97,70,20,56,54,14
12,19,80,8,70,6,87,63,37,16,27,38,62,34,78,47,51,87,9,56
